"901","Two","0xEA51","0xEAA4"
"902","Three","0xEB8B","0xEBD3"
"903","Four","0xEAA4","0xEAFD"
"904","Five","0xE75A","0xE7BA"
"905","Six","0xE5F0","0xE66E"
"906","Eight","0xE7BA","0xE80D"
"907","Twenty","0x62D2","0x630B"
"908","Twenty-One","0xEC50","0xECC4"
"909","Thirty","0x630B","0x634D"
"910","Thirty-One","0xECC4","0xED27"
"911","Thirty-Two","0xED27","0xEDA5"
"912","Thirty-Three","0xEDA5","0xEDF6"
"913","Thirty-Four","0xEDF6","0xEE60"
"914","Thirty-Five","0xEE60","0xEEF6"
"915","Thirty-Six","0xEEF6","0xEF3C"
"916","Thirty-Seven","0xEF3C","0xEFA1"
"917","Fifty","0x634D","0x6389"
"918","Fifty-One","0xF06D","0xF0CE"
"920","Fifty-Three","0xEFEA","0xF06D"
"921","Fifty-Four","0xEFA1","0xEFEA"
"922","Sixty","0xBD57","0xBD60"
"923","Sixty-One","0xBD60","0xBD69"
"924","Sixty-Two","0xBD69","0xBD73"
"925","Sixty-Three","0xBD73","0xBD7E"
"926","Sixty-Four","0xF0CE","0xF0E9"
"927","Sixty-Five","0xF0E9","0xF104"
"928","Sixty-Six","0xF104","0xF1C8"
"929","Sixty-Seven","0xF1C8","0xF24B"
"930","Seventy-Two","0xF24B","0xF479"
"931","Eighty","0xF479","0xF521"
"932","Eighty-One","0xF521","0xF5E4"
"933","Eighty-Two","0xF5E4","0xF679"
"934","Ninety-Nine","0xF679","0xF6E4"
